title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Schindler's List",movie,"Biography, Drama, History",1993,tt0108052,9,1531203,
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.2,446884,
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,498525,
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,82813,
Sissi,movie,"Comedy, Drama, History",1955,tt0048624,7,10605,
"Sissi: The Young Empress",movie,"Drama, History",1956,tt0049762,6.6,7731,
"Sissi: The Fateful Years of an Empress",movie,"Drama, History, Romance",1957,tt0050974,6.6,6323,
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.5,235406,
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18791,
"My Own Private Idaho",movie,Drama,1991,tt0102494,6.9,64764,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,42186,
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,83331,
"The African Queen",movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,87040,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1144154,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,209712,
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1493434,
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1136494,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,113363,
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,168371,
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,56375,
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.5,559806,
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,367366,
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1122014,
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,595534,
"The Blues Brothers",movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,222865,
"Once Were Warriors",movie,"Crime, Drama",1994,tt0110729,7.9,38289,
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,153888,
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,386595,
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,62183,
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,756035,
D.E.B.S.,movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18966,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,190380,
Dogville,movie,"Crime, Drama",2003,tt0276919,8,164709,
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,927402,
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,750104,
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,671986,
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,394827,
"Starship Troopers",movie,"Action, Adventure, Sci-Fi",1997,tt0120201,7.3,336380,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,484033,
"Rear Window",movie,"Drama, Mystery, Thriller",1954,tt0047396,8.5,549670,
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,327336,
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,213801,
"Next Door",movie,"Mystery, Thriller",2005,tt0453383,6.4,10978,
Frenzy,movie,"Drama, Thriller",1972,tt0068611,7.4,51694,
"The Man Who Knew Too Much",movie,"Crime, Drama, Mystery",1956,tt0049470,7.4,73231,
"The Lives of Others",movie,"Drama, Mystery, Thriller",2006,tt0405094,8.4,429392,
"Monty Python's Life of Brian",movie,Comedy,1979,tt0079470,8,429535,
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,311612,
"Big Fish",movie,"Adventure, Drama, Fantasy",2003,tt0319061,8,470360,
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,253469,
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,474183,
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,131694,
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,515844,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1344264,
"City of God",movie,"Crime, Drama",2002,tt0317248,8.6,841026,
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,825320,
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2164758,
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,653904,
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,562288,
"Men in Black",movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,642454,
