title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Ritual",movie,"Horror, Mystery, Thriller",2017,tt5638642,6.4,132798,
"Le vol du Sphinx",movie,"Adventure, Romance",1984,tt0088362,4.5,102,
"The Mars Generation",movie,Documentary,2017,tt6333096,6.5,1055,
"Daytime Shooting Star",movie,"Family, Romance",2017,tt6078842,6.7,762,
"Bee Bop highschool: Koko yotaro kanketsu-hen",movie,"Action, Comedy",1988,tt0222773,3.5,33,
"Bee Bop highschool: Koko yotaro kyoso-kyoku",movie,"Action, Comedy",1987,tt0222774,4.8,32,
"Bee Bop highschool; Koko yotaro march",movie,"Action, Comedy",1987,tt0222771,5.7,38,
"Die Kronzeugin",movie,"Crime, Drama, Thriller",2017,tt5945622,7.1,161,
"Confidential Assignment",movie,"Action, Comedy, Drama",2017,tt5606538,6.7,4967,
"Let's Go Jets",movie,"Comedy, Drama, Sport",2017,tt5693562,6.8,876,
"Taxi 5",movie,"Action, Comedy, Crime",2018,tt7238392,4.6,11573,
"Belle and Sebastian, Friends for Life",movie,"Adventure, Family",2017,tt6449336,6.3,979,
"Cactus Flower",movie,"Adventure, Drama, Fantasy",2017,tt6520568,6.1,168,
"El paseo 4",movie,Comedy,2016,tt6857268,4.2,234,
"The King",movie,"Action, Crime, Drama",2017,tt5644740,6.8,2639,
"The War of the Yokels",movie,Comedy,2017,tt6899238,6.3,269,
"Bowie: The Man Who Changed the World",movie,"Biography, Documentary, Music",2016,tt5598234,5.3,1623,
Ban'yuuki,movie,Drama,2010,tt1735848,6.7,35,
"6.9 on the Richter Scale",movie,Comedy,2016,tt5289520,7.4,1615,
"It's for Your Own Good",movie,Comedy,2017,tt5790492,5.5,2729,
"We don't like Captain Sausage!",movie,"Documentary, Family, History",2015,tt5501720,6.1,77,
"A Royal Winter",movie,"Drama, Family, Romance",2017,tt6387232,6.4,3878,
"Perfect Strangers",movie,"Comedy, Drama",2017,tt6101820,6.9,16049,
"Çakallarla Dans 4",movie,Comedy,2016,tt6273998,4.1,3265,
"Neal Brennan: 3 Mics",movie,Comedy,2017,tt6438918,7.8,4117,
"Fabricated City",movie,"Action, Crime",2017,tt6399158,6.8,7207,
"Ricardo O'Farrill: Abrazo navideño",movie,Comedy,2016,tt6475778,5.8,76,
Pieles,movie,"Comedy, Drama, Fantasy",2017,tt5808778,6,7588,
"Dawn of the Felines",movie,Drama,2017,tt6000140,5.5,439,
Bluebeard,movie,Thriller,2017,tt6599340,6.4,2320,
"New Trial",movie,"Crime, Drama",2017,tt6731636,6.8,1436,
"Steel Rain",movie,"Action, Drama, Thriller",2017,tt6769508,7.1,6965,
"L'ora legale",movie,Comedy,2017,tt6137734,6.4,3644,
"The Divine Order",movie,"Comedy, Drama",2017,tt5818818,7.1,3200,
Ojciec,movie,Drama,2015,tt5017000,5.5,71,
"Landkrimi: Höhenstrasse",movie,Crime,2016,tt5725738,6.5,221,
"On Body and Soul",movie,"Drama, Fantasy, Mystery",2017,tt5607714,7.5,30867,
"High & Low: The Movie",movie,Action,2016,tt5659172,6.4,881,
"Cut Off",movie,"Action, Crime, Horror",2018,tt3645988,6.5,8248,
"The Battleship Island",movie,"Action, Drama, History",2017,tt5969696,7.1,9096,
"Soreike! Anpanman: Gomira no hoshi",movie,"Adventure, Animation, Family",2001,tt15864378,,,
"Go! Anpanman: Hiyariko and Baby Baikinman",movie,Animation,2008,,,,
"Barba, Cabelo & Bigode",movie,Documentary,2016,tt6469210,7.2,15,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Der Frosch",movie,Romance,2017,tt5797038,6,33,
"Tuintje in mijn hart",movie,"Adventure, Comedy, Romance",2017,tt5490310,5.3,598,
"Autumn, Autumn",movie,Drama,2016,tt6680676,6.2,44,
"Pokémon the Movie: I Choose You!",movie,"Action, Adventure, Animation",2017,tt6595896,6.3,7918,
"The Suicide Squad",movie,"Action, Adventure, Comedy",2021,tt6334354,7.2,434785,
"Lucid Dream",movie,"Sci-Fi, Thriller",2017,tt6830780,6.1,4413,
"Cristela Alonzo: Lower Classy",movie,Comedy,2017,tt6550456,6.7,1006,
"Gad Elmaleh: Part En Live",movie,Comedy,2017,tt6550440,6.9,464,
"¡Ay, mi madre!",movie,Comedy,2019,tt6213294,3.9,489,
"The Laws of Thermodynamics",movie,Comedy,2018,tt6053938,6,2985,
"Ana by Day",movie,"Drama, Mystery, Thriller",2018,tt5904182,5.4,589,
"Toc Toc",movie,Comedy,2017,tt6060156,6.8,22451,
"Mist & the Maiden",movie,"Drama, Thriller",2017,tt5991948,5.3,1324,
"The Motive",movie,"Comedy, Crime, Drama",2017,tt5451244,6.5,6927,
"A Taxi Driver",movie,"Action, Drama, History",2017,tt6878038,7.9,35544,
"The Mayor",movie,Drama,2017,tt6150238,6.3,504,
"Heart Blackened",movie,"Crime, Drama, Mystery",2017,tt7609180,6.6,1160,
"The Fortress",movie,"Action, Drama, History",2017,tt7160176,6.8,3800,
"Night of 7 Years",movie,"Drama, Thriller",2018,tt8060652,5.8,558,
"1987: When the Day Comes",movie,"Drama, History, Thriller",2017,tt6493286,7.7,7510,
"The Mimic",movie,"Horror, Mystery, Thriller",2017,tt7046826,5.6,2382,
"The Villainess",movie,"Action, Thriller",2017,tt6777338,6.6,17848,
"A Special Lady",movie,"Action, Crime",2017,tt7549884,5.5,683,
"Foolish Love",movie,"Comedy, Romance",2017,tt6461888,5.7,38,
"Thi Mai, rumbo a Vietnam",movie,"Comedy, Family",2017,tt6126346,6,2911,
"Holy Goalie",movie,Comedy,2017,tt6197484,5.3,2002,
"Órbita 9",movie,"Drama, Sci-Fi, Thriller",2017,tt3469798,5.9,8785,
Lotto,movie,Comedy,2017,tt6458968,7.1,33,
"The Skin of the Wolf",movie,Drama,2017,tt6347150,5.9,3700,
"Sea Tomorrow",movie,Documentary,2016,tt4870814,7,75,
"Almost There",movie,"Biography, Documentary",2016,tt6132528,7.2,168,
Mid90s,movie,"Comedy, Drama",2018,tt5613484,7.4,83961,
"House of Norway",movie,Comedy,2017,tt5642934,5.5,338,
"Soreike! Anpanman: Shabondama No Purun",movie,"Adventure, Animation, Family",2007,tt6419522,,,
Real,movie,"Action, Thriller",2017,tt6904062,4.7,1933,
"Go! Anpanman: Happy Birthday with Anpanman",movie,Animation,1995,,,,
"Suck Me Shakespeer 3",movie,Comedy,2017,tt6471264,5.4,8078,
"The Mansion",movie,"Comedy, Horror",2017,tt7029854,4.6,3065,
"Bill Burr: Walk Your Way Out",movie,Comedy,2017,tt6184894,7.2,8478,
"Soreike! Anpanman: Hapî no Daibôken",movie,"Adventure, Animation, Family",2005,tt15684228,5,13,
"Go! Anpanman: Horror Man and Horror Horako",movie,"Animation, Family",2007,,,,
"Soreike! Anpanman: Tobe! Tobe! Chibigon",movie,"Adventure, Animation, Family",1991,tt1189084,6.4,9,
"Upin & Ipin: Jeng Jeng Jeng!",movie,"Drama, Family, Fantasy",2016,tt32362413,6.4,23,
"Go! Anpanman: Omusubiman",movie,"Animation, Family",1990,,,,
"Go! Anpanman: Yakisobapanman and Black Sabotenman",movie,"Animation, Family",2000,,,,
"Soreike! Anpanman: Kirakiraboshi no namida",movie,"Adventure, Animation, Family",1989,tt1189081,4.8,20,
"52Hz, I Love You",movie,"Comedy, Musical, Romance",2017,tt6327400,6.2,526,
"Detective Conan: Crimson Love Letter",movie,"Action, Adventure, Animation",2017,tt5692622,6.5,1863,
"Minions: The Rise of Gru",movie,"Adventure, Animation, Comedy",2022,tt5113044,6.5,99255,
Passionnelle,movie,Drama,1947,tt0218524,6.7,111,
"The Season for Love",movie,"Comedy, Drama, Romance",1961,tt0054094,6,113,
"Wedding Unplanned",movie,"Comedy, Drama",2017,tt6009140,6.1,4193,
"Quién te cantará",movie,"Drama, Music, Mystery",2018,tt6485304,6.9,3429,
"Miss Butcher",movie,"Crime, Mystery, Romance",2017,tt11074318,5.5,127,
"Unknown Origins",movie,"Action, Crime, Drama",2020,tt5827790,6.1,7880,
Listen,movie,"Drama, Romance",2017,tt6350558,6.5,276,
A-X-L,movie,"Action, Adventure, Drama",2018,tt5709188,5.3,14147,
"Born in Syria",movie,Documentary,2016,tt5356680,7.7,382,
"Keys to the Heart",movie,"Comedy, Drama, Family",2018,tt6985200,7.5,1651,
"Dune: Part One",movie,"Action, Adventure, Drama",2021,tt1160419,8,962821,
"Summer 1993",movie,"Drama, Family",2017,tt5897636,7.1,8807,
"Ashley Madison: Sex, Lies & Cyber Attacks",movie,"Crime, Documentary, History",2016,tt6798722,5.6,468,
"Cold Pursuit",movie,"Action, Comedy, Crime",2019,tt5719748,6.2,82176,
Siberia,movie,"Crime, Drama, Romance",2018,tt6494418,4.3,17941,
"Recep Ivedik 5",movie,Comedy,2017,tt6439558,3.4,18858,
"The Prison",movie,"Action, Crime",2017,tt6589464,6.5,2304,
"White Boy Rick",movie,"Crime, Drama",2018,tt4537896,6.5,46644,
"Cook Up a Storm",movie,"Comedy, Drama",2017,tt6315750,6.3,3324,
"Slender Man",movie,"Horror, Mystery, Thriller",2018,tt5690360,3.3,40939,
"Daniel Sosa: Sosafado",movie,Comedy,2017,tt6502534,5.6,105,
"Rocko's Modern Life: Static Cling",movie,"Action, Adventure, Animation",2019,tt6172460,6.9,4302,
"Just Like Our Parents",movie,Drama,2017,tt5631456,7.2,2365,
"The Nun",movie,"Horror, Mystery, Thriller",2018,tt5814060,5.4,182997,
"Katherine Ryan: In Trouble",movie,Comedy,2017,tt6540084,7,2418,
"Baby Bump(s)",movie,"Comedy, Drama",2017,tt5975354,5.1,1600,
Tenderness,movie,Drama,2017,tt5765192,6.4,1417,
"Lo más sencillo es complicarlo todo",movie,Comedy,2018,tt5507934,3.8,754,
"Happy Death Day",movie,"Comedy, Horror, Mystery",2017,tt5308322,6.6,177237,
"City of the Sun",movie,Documentary,2017,tt6479614,7,319,
"The Sisters Brothers",movie,"Drama, Western",2018,tt4971344,6.9,73836,
"Cold War",movie,"Drama, Music, Romance",2018,tt6543652,7.5,64007,
"Escape Plan 2: Hades",movie,"Action, Crime, Mystery",2018,tt6513656,3.9,37122,
"The Upside",movie,"Comedy, Drama",2017,tt1987680,7,67150,
"Mom or Dad?",movie,Comedy,2017,tt6340296,5.5,1349,
"Trevor Noah: Afraid of the Dark",movie,Comedy,2017,tt6562866,7.3,6059,
"Grillo vs Grillo",movie,Comedy,2017,tt6522846,5.4,134,
"Teen Spirit",movie,"Drama, Music",2018,tt6483364,6.1,10107,
"The Best of All Worlds",movie,"Biography, Drama",2017,tt5538118,7.6,1160,
"Naam Shabana",movie,"Action, Drama, Thriller",2017,tt6170954,6.2,7821,
"From London to Bali",movie,"Drama, Comedy, Romance",2017,,,,
"Hantu Gunung Kawi",movie,"Comedy, Horror",2017,tt7429260,4.6,46,
Chavela,movie,"Biography, Documentary, History",2017,tt6217664,7.7,1214,
"Turning Mecards W: Resurrection of the Black Mirror",movie,"Adventure, Animation, Fantasy",2017,tt6857332,7.5,26,
"Unusual Tales",movie,"Horror, Mystery",1949,tt0206012,5.8,266,
"Ash Is Purest White",movie,"Crime, Drama, Romance",2018,tt7298400,7,11215,
"In the Intense Now",movie,"Documentary, History",2017,tt6532954,7.3,634,
"El club de los buenos infieles",movie,Comedy,2017,tt3398808,5.5,739,
Veronica,movie,"Horror, Mystery",2017,tt5862312,6.2,50539,
Hampstead,movie,"Comedy, Drama, Romance",2017,tt5153236,6.1,7860,
"My Ex and Whys",movie,"Comedy, Drama, Romance",2017,tt6544850,6,679,
"I'm Drunk, I Love You",movie,Romance,2017,tt6431324,7,552,
"Toilet: A Love Story",movie,"Comedy, Drama, Romance",2017,tt5785170,7.2,24555,
Tubelight,movie,"Drama, War",2017,tt5882970,4,22572,
Baadshaho,movie,"Action, Adventure, Thriller",2017,tt4906960,4.9,5445,
"Jab Harry Met Sejal",movie,"Comedy, Drama, Romance",2017,tt5997666,5.1,23680,
One-Line,movie,"Crime, Drama",2017,tt5628332,5.9,363,
"Goosebumps 2: Haunted Halloween",movie,"Adventure, Comedy, Fantasy",2018,tt5664636,5.6,25148,
"The Last Full Measure",movie,"Drama, War",2019,tt0783640,6.8,14931,
"Mike Birbiglia: Thank God for Jokes",movie,Comedy,2017,tt6608034,7.5,2886,
"The First Purge",movie,"Action, Horror, Sci-Fi",2018,tt6133466,5.2,75612,
"Le rempart des Béguines",movie,Drama,1972,tt0069173,5.4,362,
"The Wiggles - Nursery Rhymes",movie,,2017,,,,
"Queen Elizabeth II: The Diamond Celebration",movie,"Biography, Documentary",2012,tt2609776,6.5,162,
"The Ghazi Attack",movie,"Action, Drama, Thriller",2017,tt6299040,7.5,15313,
"Ça sent la coupe",movie,Comedy,2017,tt6515050,5.9,261,
"Crazy for Football: The Craziest World Cup",movie,"Documentary, Sport",2017,tt6465036,7.5,45,
"Sunday's Illness",movie,Drama,2018,tt6053948,6.9,4154,
"The Brig Three Lilies",movie,"Adventure, Family",1961,tt0054704,6.2,85,
"Ordinary Person",movie,"Action, Crime, Drama",2017,tt6857282,6.4,596,
Momo,movie,Comedy,2017,tt6556552,5.1,1461,
"Let It Snow",movie,Comedy,2017,tt6515420,4,208,
"Leave No Trace",movie,"Adventure, Drama",2018,tt3892172,7.1,68503,
Legends,movie,"Comedy, Drama, Music",2017,tt6084472,6.3,831,
"Harry's Daughters",movie,Drama,2005,tt0456972,6.1,254,
"Ushijima the Loan Shark 3",movie,Comedy,2016,tt5706292,6.2,119,
Athos,movie,Documentary,2016,tt5843792,7,482,
"The Dissidents",movie,"Action, Comedy",2017,tt6025806,6.4,1170,
"Three Ladies",movie,"Comedy, Drama, Fantasy",2015,tt11644582,6.4,36,"ID, MY, PH, SG, TH"
"The Ash Lad: In the Hall of the Mountain King",movie,"Adventure, Family, Fantasy",2017,tt5628418,6.2,4627,
"Jupiter's Moon",movie,"Drama, Fantasy, Mystery",2017,tt5842890,6.1,3602,
"A Sort of Family",movie,"Crime, Drama, Thriller",2017,tt6386168,6.3,788,
"Amy Schumer: The Leather Special",movie,Comedy,2017,tt6616074,3.2,10795,
"40 Hari Bangkitnya Pocong",movie,Horror,2008,tt1190088,4.9,69,ID
Cintapuccino,movie,Comedy,2007,tt1068229,5.8,57,
"No Game No Life: Zero",movie,"Adventure, Animation, Drama",2017,tt5914996,7.3,5004,
"The Enclosure",movie,"Drama, Romance",1978,tt0217567,5.4,64,
"Peppa Pig: My First Cinema Experience",movie,Animation,2017,tt6771444,4.2,353,
"There Is a Light: Il padre d'Italia",movie,Drama,2017,tt5612576,6.5,982,
"Buying A Man",movie,"Comedy, Drama, Romance",2017,tt6539420,6.3,819,
"Thomas & Friends: Full Steam to the Rescue!",movie,"Animation, Family",2016,tt5992076,6.6,14,
"Io sono Libero",movie,Drama,2016,tt6241086,6.9,76,
"Game Night",movie,"Action, Adventure, Comedy",2018,tt2704998,6.9,266443,
Slam,movie,"Comedy, Drama, Romance",2016,tt4379536,6.1,1458,
"Fighting with My Family",movie,"Biography, Comedy, Drama",2019,tt6513120,7,91243,
"The Darkest Minds",movie,"Action, Adventure, Drama",2018,tt4073790,5.7,38961,
"Thi Baan the Series",movie,"Comedy, Romance",2017,tt24132650,7,58,
"Pwera usog",movie,"Horror, Thriller",2017,tt6582784,4.6,189,
"The Winner",movie,"Comedy, Music",1979,tt0207489,4.1,129,
"Deli Ask",movie,"Comedy, Romance",2017,tt6229852,5.4,3323,
Gomorroide,movie,Comedy,2017,tt6569622,5.1,137,
"Siam Square",movie,"Drama, Horror, Mystery",2017,tt6750506,5.3,244,
"The Marine 5: Battleground",movie,"Action, Crime, Thriller",2017,tt5781798,5.1,2025,
"La Parisienne",movie,"Comedy, Romance",2017,tt5993456,4.7,706,
"Jim Norton: Mouthful of Shame",movie,Comedy,2017,tt6664120,7,1438,
"The Devotion of Suspect X",movie,"Crime, Thriller",2017,tt3401392,6.2,1033,
"Galih dan Ratna",movie,"Drama, Romance",2017,tt6467500,6.4,304,
"Bring Back the Dead",movie,Horror,2015,tt3959152,6,74,
"Life Itself",movie,"Drama, Romance",2018,tt5989218,6.9,26238,
"All the Money in the World",movie,"Biography, Crime, Drama",2017,tt5294550,6.8,94593,
"The Girl in the Spider's Web",movie,"Action, Adventure, Crime",2018,tt5177088,6.1,54241,
"My Friend the Traitor",movie,"Drama, War",1988,tt0095651,6,209,
Smallfoot,movie,"Adventure, Animation, Comedy",2018,tt6182908,6.6,44456,
Skyscraper,movie,"Action, Adventure, Thriller",2018,tt5758778,5.8,140750,
"Bet on Revenge",movie,"Adventure, Drama, History",2017,tt4964310,7.2,6610,
"Maniac Tales",movie,"Horror, Mystery, Thriller",2016,tt5516586,4.6,306,
#Sohavégetnemérös,movie,"Comedy, Music",2016,tt6212476,5.6,861,
"Life in a Year",movie,"Drama, Romance",2020,tt6598238,6.3,11509,
"Love, Surreal and Odd",movie,"Comedy, Romance",2017,tt6555772,5.6,3760,
"Ushijima the Loan Shark the Final",movie,Comedy,2016,tt5706294,6.3,146,
"My Superheroes",movie,"Biography, Drama",2017,tt6695240,8.2,83,
Boundaries,movie,"Comedy, Drama",2018,tt5686062,5.8,3059,
"Tips for Cheating",movie,"Comedy, Romance",2017,tt6575062,4,696,
"Pad Man",movie,"Comedy, Drama",2018,tt7218518,7.9,30900,
"The Lost Brother",movie,"Crime, Drama, Thriller",2017,tt6522634,6.5,1848,
"Love Off the Cuff",movie,"Comedy, Drama, Romance",2017,tt5956006,6.5,1148,
"I Still See You",movie,"Fantasy, Horror, Mystery",2018,tt2160105,5.8,12393,
"Part-Time Spy",movie,"Action, Comedy",2017,tt6646998,5.5,498,
"The Death and Life of Marsha P. Johnson",movie,"Biography, Documentary",2017,tt5233558,7.2,3277,
"In a Relationship",movie,"Comedy, Drama",2018,tt6676028,5.5,3398,
"Get Me Roger Stone",movie,"Biography, Documentary",2017,tt6714534,7.3,7872,
"Little Forest",movie,Drama,2018,tt6083230,7.3,4644,
"Sara Learns Manners",movie,Comedy,1937,tt0029515,6.1,111,
"After Everything",movie,"Comedy, Drama, Romance",2018,tt6688022,6.5,2732,
"Felipe Neto: Minha Vida Não Faz Sentido",movie,"Comedy, Documentary",2017,tt6690322,4.3,272,
"A Prayer Before Dawn",movie,"Action, Biography, Crime",2017,tt4080956,6.8,27430,
"Um Tio Quase Perfeito",movie,"Comedy, Family",2017,tt6853930,5.2,362,
"Kuroko's Basketball: Winter Cup Highlights -Beyond the Tears-",movie,"Animation, Comedy, Drama",2016,tt6779296,7.6,480,
"Formentera Lady",movie,"Comedy, Drama",2018,tt6563862,5.7,269,
Amok,movie,"Crime, Thriller",2017,tt6666648,5.7,726,
"Let Me Eat Your Pancreas",movie,"Drama, Romance",2017,tt6078840,7.1,3535,
"Love, Simon",movie,"Comedy, Drama, Romance",2018,tt5164432,7.5,131001,
"El silencio es bienvenido",movie,Drama,2017,tt6436212,5,126,
"Qu'est-ce qui fait courir les crocodiles?",movie,Comedy,1971,tt0185624,3.5,72,
"A Family Affair",movie,"Comedy, Drama",1984,tt0087963,6.5,100,
"Jo Koy: Live from Seattle",movie,Comedy,2017,tt6720442,7.3,1710,
Vivo,movie,"Adventure, Animation, Comedy",2021,tt6338498,6.7,22755,
"Den of Thieves",movie,"Action, Crime, Drama",2018,tt1259528,7,146002,
"The Vanishing",movie,"Drama, Mystery, Thriller",2018,tt4131496,5.9,21976,
"Kalushi: The Story of Solomon Mahlangu",movie,"Biography, Drama, Thriller",2016,tt3487278,6.6,488,
"In Time to Come",movie,Documentary,2017,tt6668592,5,23,
"Isn't It Romantic",movie,"Comedy, Fantasy, Musical",2019,tt2452244,5.9,75571,
"Godzilla: Planet of the Monsters",movie,"Action, Animation, Sci-Fi",2017,tt5979874,6,10071,
"77 Heartbreaks",movie,"Comedy, Drama, Romance",2017,tt6608132,6,520,
"Northern Lights: A Journey to Love",movie,Drama,2017,tt6709480,6.1,68,
"Escape Room",movie,"Horror, Thriller",2017,tt5159414,4.2,14707,
"Louis C.K. 2017",movie,Comedy,2017,tt6736782,7.6,11080,
"Girls with Balls",movie,"Comedy, Horror",2018,tt4725842,4,3939,
"Frun tillhanda",movie,"Comedy, Romance",1939,tt0031351,4.8,99,
"The Leisure Seeker",movie,"Adventure, Comedy, Drama",2017,tt3741632,6.7,10271,
"The Postcard Killings",movie,"Crime, Drama, Mystery",2020,tt4106514,5.8,17736,
Fortunata,movie,Drama,2017,tt6306400,6.2,1682,
"Ip Man 4: The Finale",movie,"Action, Biography, Drama",2019,tt2076298,7,39031,
"Triple Threat",movie,"Action, Thriller",2019,tt6643972,5.6,13325,
"The Night Comes for Us",movie,"Action, Crime, Thriller",2018,tt6116856,6.9,31498,
"City of Joy",movie,"Crime, Documentary, Drama",2016,tt4078252,7.7,651,
Problemos,movie,Comedy,2017,tt5796516,6.1,2418,
"Memoirs of a Murderer",movie,"Drama, Mystery, Thriller",2017,tt5882982,6.8,2301,
Deuces,movie,"Action, Crime, Drama",2016,tt5081606,5.8,1133,
"The Man Who Invented Christmas",movie,"Biography, Comedy, Drama",2017,tt6225520,7,20741,
"Biz Size Döneriz",movie,"Comedy, Drama, Romance",2017,tt6559642,5.8,2463,
Glass,movie,"Drama, Horror, Sci-Fi",2019,tt6823368,6.6,294151,
"Irreplaceable You",movie,"Comedy, Drama, Romance",2018,tt6119856,6.4,10736,
Laerte-se,movie,"Biography, Documentary",2017,tt6791240,7,739,TZ
Bliss,movie,"Drama, Horror, Mystery",2017,tt6608136,6,726,
"White Boy",movie,"Crime, Documentary",2017,tt5635638,7.1,2365,
"Arif V 216",movie,"Comedy, Sci-Fi",2018,tt6697582,6.9,40554,
"All Saints",movie,Drama,2017,tt4663548,6.3,2130,
"The Startup: Accendi il tuo futuro",movie,Drama,2017,tt5225382,5.5,282,
"Voor elkaar gemaakt",movie,"Comedy, Romance",2017,tt5749956,6.2,800,
"What If It Works?",movie,"Comedy, Drama, Romance",2017,tt4832248,5.5,350,
"Daddy You, Daughter Me",movie,"Comedy, Drama, Family",2017,tt6770758,6.3,497,
"A la diestra del cielo: Silvio, un cantaor rockero",movie,"Biography, Documentary, Music",2007,tt1185419,7.5,28,
"Wasp Network",movie,"Crime, Drama, Thriller",2019,tt6760876,5.9,12457,
"Szczescie swiata",movie,"Comedy, Drama",2016,tt6104188,5.9,183,
"Go! Anpanman: Anpanman and His Pleasant Friends",movie,"Animation, Family",1992,,,,
"The Guernsey Literary and Potato Peel Pie Society",movie,"Drama, Romance, War",2018,tt1289403,7.3,55905,
"Santa & Cie",movie,"Comedy, Family, Fantasy",2017,tt7018010,6.3,3418,
"Happy Anniversary",movie,Comedy,2018,tt6423886,5.7,4592,
"Lucas Brothers: On Drugs",movie,Comedy,2017,tt6218048,5.7,867,
"It's the Heart That Dies Last",movie,Drama,2017,tt6541904,7.1,269,
"The King's Case Note",movie,"Comedy, Mystery",2017,tt6817202,6.4,534,
"The Merciless",movie,"Action, Crime, Drama",2017,tt6777370,6.7,3451,
Psychokinesis,movie,"Action, Comedy, Fantasy",2018,tt6890582,6,6610,
"The Guys",movie,"Comedy, Romance",2017,tt6527838,6.2,404,
Elaan,movie,"Action, Drama, Musical",1971,tt0367695,5.9,101,
"Smoking Club 129 normas",movie,Comedy,2017,tt6597488,5.1,73,
"Can't Help Falling in Love",movie,"Comedy, Drama, Romance",2017,tt6725484,6.8,1175,
"The Sheriff in Town",movie,"Comedy, Crime",2017,tt6848094,5.9,229,
Nour,movie,"Drama, Romance",2017,tt6013182,5.5,103,
Spyder,movie,"Action, Crime, Thriller",2017,tt6522546,6.3,11992,
1922,movie,"Crime, Drama, Horror",2017,tt6214928,6.2,75552,
"The Adventurers",movie,"Action, Adventure, Crime",2017,tt5866930,5.6,3505,
Paradox,movie,"Action, Adventure, Crime",2017,tt7245176,6.5,4549,
"Over Water",movie,"Comedy, Family",2017,tt5816044,5.7,199,
"The Tooth and the Nail",movie,"Drama, Thriller",2017,tt7479314,6.3,306,
"The Land of Steady Habits",movie,"Comedy, Drama",2018,tt6485928,6.2,9311,
"Tad, the Lost Explorer, and the Secret of King Midas",movie,"Adventure, Animation, Comedy",2017,tt3896102,6.2,4375,
"Meet the In-Laws",movie,Comedy,2016,tt8332742,5.7,36,
Serenity,movie,"Drama, Mystery, Thriller",2019,tt6476140,5.4,47851,
"Immortal Demon Slayer",movie,"Action, Adventure, Family",2017,tt6513406,5.9,2101,
"Tangled Web",movie,"Drama, Thriller",2018,tt6438398,5.5,500,
"Stravinsky: Once at a Border...",movie,"Biography, Documentary, History",1982,tt0968326,7.6,71,
"Midnight Runners",movie,"Action, Comedy",2017,tt7056732,7.3,11026,
"The Big Bad Fox and Other Tales",movie,"Adventure, Animation, Comedy",2017,tt5851904,7.4,3988,
"The 15:17 to Paris",movie,"Biography, Drama, Thriller",2018,tt6802308,5.3,36564,
"Clive Davis: The Soundtrack of Our Lives",movie,Documentary,2017,tt6494358,7.5,1286,
"Marlina the Murderer in Four Acts",movie,"Drama, Thriller, Western",2017,tt5923026,6.9,3570,
"The Rider",movie,"Drama, Western",2017,tt6217608,7.4,21381,
"Gemini Man",movie,"Action, Sci-Fi, Thriller",2019,tt1025100,5.7,128065,
"Crayon Shin-chan: Invasion!! Alien Shiriri",movie,"Adventure, Animation, Comedy",2017,tt6809936,6.1,469,
Arctic,movie,"Adventure, Drama",2018,tt6820256,6.8,61072,
"Gunned Down",movie,"Action, Thriller",2017,tt1024855,5.1,1387,
"Anarchist from Colony",movie,"Biography, Drama",2017,tt6903980,6.6,757,
"A Suitable Girl",movie,"Documentary, Romance",2017,tt6604050,6.9,456,
"Outlaw King",movie,"Action, Biography, Drama",2018,tt6679794,6.9,85231,
Saaho,movie,"Action, Thriller",2019,tt6836936,5.1,25432,
"Night School",movie,Comedy,2018,tt6781982,5.6,47795,
"Vir Das: Abroad Understanding",movie,Comedy,2017,tt6822400,6.9,1839,
UglyDolls,movie,"Adventure, Animation, Comedy",2019,tt1946502,5.1,8291,
Benedetta,movie,"Biography, Drama, Romance",2021,tt6823148,6.7,28142,
"The Angry Birds Movie 2",movie,"Action, Adventure, Animation",2019,tt6095472,6.4,39234,
Colette,movie,"Biography, Drama, History",2018,tt5437928,6.7,27376,
"Benjamin the Elephant",movie,"Comedy, Family",2019,tt6688324,3.9,344,
"Mon Mon Mon Monsters",movie,"Comedy, Drama, Horror",2017,tt6648404,6.3,1792,
"Rodney King",movie,"Comedy, Drama",2017,tt6624312,6.1,682,
"The Kissing Booth",movie,"Comedy, Romance",2018,tt3799232,5.9,99288,
"The Spy Who Dumped Me",movie,"Action, Adventure, Comedy",2018,tt6663582,6,85237,
"Shimla Mirchi",movie,"Comedy, Romance",2020,tt4486148,4.7,1858,
"Crazy Rich Asians",movie,"Comedy, Drama, Romance",2018,tt3104988,6.9,201939,
"Julian Schnabel: A Private Portrait",movie,Documentary,2017,tt6794464,6.8,298,
"Knights of the Zodiac",movie,"Action, Adventure, Drama",2023,tt6528290,4.4,16691,
