Title,Type,Year,Rating,Votes,Genre
Rambo III,movie,1988,5.8,145523.0,Action
Blood Diamond,movie,2006,8.0,608833.0,Adventure
Lights in the Dusk,movie,2006,6.8,8518.0,Crime
Y tu mamá también,movie,2001,7.7,135106.0,Drama
The Pursuit of Happyness,movie,2006,8.0,593837.0,Biography
Cutthroat Island,movie,1995,5.7,32045.0,Action
"Sex, Lies, and Videotape",movie,1989,7.2,62348.0,Drama
Pan's Labyrinth,movie,2006,8.2,726680.0,Drama
The Departed,movie,2006,8.5,1493143.0,Crime
Perfume: The Story of a Murderer,movie,2006,7.5,273497.0,Crime
Once Upon a Time in Mexico,movie,2003,6.3,173869.0,Action
Little Children,movie,2006,7.5,119798.0,Drama
The Virgin Suicides,movie,1999,7.2,179721.0,Drama
Hellboy,movie,2004,6.9,362043.0,Action
Miss Congeniality,movie,2000,6.3,240738.0,Action
Curse of the Golden Flower,movie,2006,7.0,46812.0,Action
Spy Game,movie,2001,7.1,172727.0,Action
Changing Lanes,movie,2002,6.5,76636.0,Drama
Collateral,movie,2004,7.5,451273.0,Action
The Lost Boys,movie,1987,7.2,170292.0,Comedy
Down by Law,movie,1986,7.6,57233.0,Comedy
The Spanish Apartment,movie,2002,7.3,43510.0,Comedy
Chicago,movie,2002,7.2,250741.0,Comedy
Resident Evil,movie,2002,6.6,300249.0,Action
Resident Evil: Apocalypse,movie,2004,6.1,216385.0,Action
The Holiday,movie,2006,7.0,349638.0,Comedy
Lammbock,movie,2001,7.2,12181.0,Comedy
School of Rock,movie,2003,7.2,346242.0,Comedy
Secret Window,movie,2004,6.5,216423.0,Drama
What's Eating Gilbert Grape,movie,1993,7.7,262541.0,Drama
Bring It On,movie,2000,6.2,110466.0,Comedy
Primal Fear,movie,1996,7.7,262998.0,Crime
Hitman,movie,2007,6.2,183442.0,Action
Liar Liar,movie,1997,6.9,350989.0,Comedy
The People vs. Larry Flynt,movie,1996,7.3,103608.0,Biography
Fried Green Tomatoes,movie,1991,7.7,87884.0,Drama
Free Willy,movie,1993,6.1,86360.0,Adventure
The Island,movie,2005,6.8,334755.0,Action
Forces of Nature,movie,1999,5.5,36774.0,Comedy
The Net,movie,1995,6.0,77483.0,Action
Freedom Writers,movie,2007,7.6,89859.0,Biography
The Motorcycle Diaries,movie,2004,7.7,107144.0,Adventure
The Legend of Zorro,movie,2005,6.0,111622.0,Action
Hostel,movie,2005,5.9,198812.0,Horror
Hostel: Part II,movie,2007,5.5,99531.0,Horror
Anatomy,movie,2000,6.0,14417.0,Horror
The Cider House Rules,movie,1999,7.4,107537.0,Drama
The Incredible Hulk,movie,2008,6.6,546151.0,Action
Iron Man,movie,2008,7.9,1177745.0,Action
The Forbidden Kingdom,movie,2008,6.5,111854.0,Action
The Mummy Returns,movie,2001,6.4,358451.0,Action
Next,movie,2007,6.2,171120.0,Action
Footloose,movie,1984,6.6,98384.0,Drama
The Devil's Advocate,movie,1997,7.5,425210.0,Drama
"You, Me and Dupree",movie,2006,5.6,85756.0,Comedy
50 First Dates,movie,2004,6.8,399886.0,Comedy
Russian Dolls,movie,2005,6.9,21670.0,Comedy
Rent,movie,2005,6.8,57189.0,Drama
We Shall Overcome,movie,2006,7.2,3028.0,Drama
Transformers,movie,2007,7.1,698661.0,Action
Fantomas Unleashed,movie,1965,6.8,8821.0,Adventure
Fantomas,movie,1964,6.9,12940.0,Adventure
Fantomas vs. Scotland Yard,movie,1967,6.7,8391.0,Adventure
The Karate Kid,movie,1984,7.3,260781.0,Action
Marie Antoinette,movie,2006,6.5,127670.0,Biography
Traffic,movie,2000,7.5,225520.0,Crime
Open Your Eyes,movie,1997,7.7,75409.0,Drama
Vanilla Sky,movie,2001,6.9,296277.0,Fantasy
Memoirs of a Geisha,movie,2005,7.3,167521.0,Drama
Don Juan DeMarco,movie,1994,6.7,54445.0,Comedy
